名前,年齢,性別,居住地,住居情報,職業・役職,会社規模,年収,学歴,家族構成,価値観・人生観,ライフスタイル,趣味・嗜好,目標・理想,購買行動,情報収集方法,使用デバイス,SNS利用状況,日課・タイムスケジュール,悩み,解決したいこと,好きなブランドや商品,よく見る映画・動画チャンネル,人間関係,最近の出来事やエピソード
田中俊介,75,男性,東京都世田谷区,一戸建て（4LDK）,元会社員（定年退職後、地域のボランティア活動に参加）,中堅企業（500人規模）,年収：退職前は700万円、現在は退職金と年金で月25万円程度,慶應義塾大学経済学部卒業,妻（73歳）、長男（48歳、既婚）、次女（46歳、独身）、孫2人（10歳と7歳）,家族との時間、地域貢献、健康維持を重視。年齢に関係なく学び続けることを大切にしている。,朝は早起きして散歩をする。午前中は地域のボランティア活動や自治会の仕事を手伝う。昼食後は読書や趣味の時間を取り、週2回はジムでエクササイズを行う。,園芸、読書（特に歴史小説）、写真撮影、ゴルフ（週1回のラウンド）,孫たちに良いおじいさんとして接したい。地域のボランティア活動を通じて、若い世代への知識伝承を実現したい。,必要なものだけを購入し、長く使える質のよいものを選ぶ傾向がある。インターネットショッピングも活用しているが、店頭で試すことを重視する。,地元の新聞、テレビニュース、自治会の広報誌、孫たちから聞く話,スマートフォン（iPhone）、タブレット（iPad）,Facebook（主に孫や親戚との連絡用）、Twitter（趣味の写真共有）,6:00 起床、7:00 散歩、8:00 朝食、9:00 ボランティア活動、12:00 昼食、13:30 読書や趣味の時間、15:00 ジム、17:00 帰宅、18:00 夕食準備、19:00 家族と夕食を食べる、20:30 テレビ観賞、22:00 就寝,健康の維持、家族との関係性、孫たちの将来、地域社会の発展,健康的な生活習慣の継続、孫たちとのコミュニケーションの充実、地域での役割を果たすための情報収集と学習,無印良品、ユニクロ、ニコン（カメラ）、アディダス（スポーツ用品）,NHKニュース、歴史系ドキュメンタリー番組、孫が好きなアニメや映画,家族との強い絆、地域の友人やボランティア仲間との良好な関係、地元商店街での顔見知りとの交流,先月は孫たちと旅行に行き、孫が学校で成績優秀賞を受賞したことを祝った。今週末には地域の秋祭りにボランティアとして参加予定
佐藤千秋,76,女性,東京都世田谷区,持ち家（3LDK）,元小学校教師（退職済み）,不適用（教育業界）,年金収入約200万円,女子短期大学卒業,夫と二人暮らし、娘1人（45歳）、孫2人（8歳と12歳）,家族との時間、健康、地域社会への貢献、環境保護,朝はゆっくりと散歩をし、昼間は趣味の園芸や読書に時間を費やす。週2回は孫たちと会う,ガーデニング、手芸、料理、旅行（国内）,健康的な生活を続けること、家族との時間が増えるように努力すること、地域のボランティア活動に参加すること,品質と価値を重視し、長期的な使用を考えた商品を選ぶ。近所の商店や地元産品を好む,テレビニュース、新聞、地元の情報誌、孫から教えてもらうSNSの情報,スマートフォン（基本操作ができる）、タブレット（孫に教わって使用中）,Facebook（主に家族との連絡用）,6:00 起床、7:00 散歩、8:00 朝食、9:00 庭の手入れや家事、12:00 昼食、13:00 孫とのオンライン会話や趣味の時間、18:00 夕食の準備、19:00 テレビを見る、21:00 就寝,孫たちとの接点が減っていること、体調管理、老後の生活費の不安,健康維持のための運動や栄養バランスの良い食事の情報、孫とコミュニケーションを取る方法の改善、地元のボランティア活動の参加方法,コーセー、花王、明治、サントリー,NHKニュース7、ドラマ「逃げるは恥だが役に立つ」、映画「グランド・ブダペスト・ホテル」,近所の人々とは良好な関係を築いており、孫と孫の友人との関わりが好き,先月、地域のお祭りで孫と一緒に出店の手伝いをした。今週末は娘家族が家に泊まりにくる予定
田中康夫,85,男性,東京都目黒区,4LDKの一戸建て（自宅）,元大学教授,"大学の教員（約1,000人の学生）",退職金と年金で生活（年収約300万円）,東京大学工学部卒業、修士課程修了,妻と同居。娘2人が独立し、孫が3人いる。,家族の絆を重視し、教育や文化活動に積極的,朝は散歩と新聞読書、午前中は趣味の木工細工、午後は地域の公民館でボランティア活動を行う,木工細工、ガーデニング、絵画、クラシック音楽鑑賞,孫たちに知識を伝えたい。地域社会への貢献と健康維持,必要なものだけを購入する。高品質な製品や信頼できるブランドを好む,新聞、テレビニュース、書籍、公民館のパンフレット,スマートフォン（基本的な操作ができる）、タブレット（孫に教えてもらった）,Facebookで家族や友人との交流。SNSはあまり活用していないが、孫たちと写真のやりとりをする,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:00 新聞読書 → 10:00 木工細工 → 12:00 昼食 → 13:00 眠り → 14:00 公民館のボランティア活動 → 17:00 帰宅 → 18:00 夕食 → 20:00 TV視聴 → 22:00 就寝,孫たちが忙しくて会えないこと、健康状態の維持、地域の安全確保,孫と過ごす時間を作りたい。地元の人々とのつながりを深めたい,ソニー、ニコン、カシオ,NHK ニュース、映画『千と千尋の神隠し』、クラシック音楽（ベートーベン）,家族との関係が非常に良好。地域での人脈も広い,孫の長男が大学に入学したことを祝った。近所の公民館でボランティア活動を開始した
田中はな子,85,女性,東京都目黒区,高齢者向け住宅（個室）,元小学校教諭,非該当（教育関連機関勤務）,年金生活（約200万円/年）,東京都立大学 教育学部 卒業,独身、甥・姪と交流あり,教育の重要性を重視し、孫世代への支援に力を入れている。人とのつながりや地域社会への貢献を大切にしている。,朝は早起きして散歩を習慣としており、午後は趣味の習い事や地域活動に参加している。夕方は高齢者向け住宅内の共用スペースで他の入居者と交流している。,水彩画、ピアノ演奏、将棋,健康を維持しながら、趣味を通じて地域社会への貢献を続けること。孫たちの教育支援にも積極的に取り組みたいと考えている。,日用品は近隣のスーパーで購入する。趣味に関するアイテムはオンラインショッピングも利用している。,テレビニュース、地域の情報誌、高齢者向け住宅内の掲示板,スマートフォン（基本操作のみ）、タブレット（趣味の学習用）,LINE（主に家族との連絡用）,6:00 起床、7:00 散歩、8:30 朝食、10:00 習い事や地域活動、12:00 昼食、14:00 レクリエーション活動、18:00 夕食、20:00 就寝,健康問題（膝の痛み）と孤独感。将来的な生活サポートや介護が必要になる可能性がある。,健康管理のために適切な運動プログラムや医療サービスを利用したい。また、趣味を通じて新しい人間関係を築きたいと考えている。,資生堂（化粧品）、キヤノン（デジタルカメラ）,NHK ニュース、地域のテレビ番組、クラシック音楽のCD,高齢者向け住宅内の友人や近所の人々との良好な関係を築いている。甥・姪とも定期的に会って交流している。,先月、高齢者向け住宅で行われた地域祭りに参加し、子どもたちとの触れ合いが楽しかった。また、孫の大学進学祝いとしてピアノの教本を贈った。
田中健一郎,95,男性,東京都目黒区,高齢者向けマンション（2LDK）,元大学教授（退職済み）,無所属（大学勤務時：国立大学法人）,年金収入（約350万円/年）,東京大学文学部卒業、博士号取得（哲学）,独居、息子1人・娘2人（孫6人）,家族との時間、知識の共有、社会への貢献,朝は散歩と読書、午後は趣味の庭いじり、夕方はテレビを見ながらお茶を飲む,読書（哲学・文学）、園芸、孫との時間を過ごす、将棋,孫たちに知識や人生の教訓を伝えること、地元コミュニティでのボランティア活動への参加,必要なものだけを買う、品質を重視する、ネットショッピングは控えめ,新聞（朝日新聞）、テレビニュース、孫からの情報提供,スマートフォン（iPhone）、タブレット（iPad）,メールとライン（家族との連絡用）,7:00 起床 → 8:00 散歩 → 9:00 朝食 → 10:00 読書/庭いじり → 12:00 昼食 → 13:00 テレビ鑑賞/孫とのビデオ通話 → 18:00 夕食 → 19:00 湯船でリラックス → 21:00 就寝,健康状態の維持、記憶力の衰え、家族とのコミュニケーション不足,健康的な食事やサプリメント、孫たちとのコミュニケーションツールの改善、趣味を楽しむための新しい道具,無印良品、ソニー、パナソニック,NHKドキュメンタリー、将棋番組、クラシック音楽チャンネル,近所の人々との良好な関係、孫たちとの親密な関係、元教え子との交流,先週は孫の一人が就職祝いに来てくれて、一緒に食事に行った。今月は地元の図書館で講演会を聞きに行く予定
田中花子,93,女性,東京都世田谷区,戦前から住んでいる一軒家（3階建て）,元小学校教諭、現在は地域のボランティア活動家,N/A（教職時代：公立学校勤務）,年金受給者（約200万円/年）,東京女子高等師範学校卒業（現お茶の水女子大学）,長男（70歳、会社員）、次女（65歳、保育士）、孫3人（20代〜40代）,家族や地域との絆を大切にすること、伝統文化の継承、平和と教育の大切さ,朝は散歩をしながら近所の友人たちと情報交換。午前中はボランティア活動、午後は趣味や孫たちとの時間。夜は家族と夕食をとりながら会話を楽しむ。,園芸（特に花の育成）、日本画、書道、古典文学の読書,地域コミュニティの活性化に貢献し、若い世代に伝統文化や価値観を伝え続けること,質と安全性を重視。主に地元の商店街で買い物をする。インターネットショッピングも利用するが、商品の品質確認は慎重である。,朝日新聞（紙面）、NHKニュース、地域の情報誌、孫たちからの最新情報,スマートフォン（基本的な操作ができる）、タブレット（孫からプレゼントされたもので、簡単な操作ができる）,LINE（主に家族との連絡用）、Facebook（近所の人々との交流用）,6:00 起床 → 7:00 散歩 → 8:00 朝食（孫たちと）→ 9:00 ボランティア活動 → 12:00 昼食（地元の食堂）→ 14:00 趣味や孫との時間 → 18:00 夕食（家族全員で）→ 20:00 NHKニュース視聴 → 21:30 就寝,地域の高齢化と若者の流出、伝統文化の衰退、孫たちの就職や結婚問題,地域の交流イベントを活発にし、高齢者と若い世代が互いに学び合える場づくり。また、孫たちの成長を支援したい。,無印良品（生活用品）、コメダ珈琲店（喫茶店）,大河ドラマ、NHKの文化番組、古典文学の朗読動画,近所の人々との強い絆、孫たちとの親密な関係、地元のボランティア仲間との連携,最近は地域で高齢者のためのパソコン教室を開始。また、孫の一人が結婚式を挙げたことから、準備に忙しかった。
田中康介,103,男性,東京都世田谷区,一戸建て（3LDK）,元大学教授（定年退職後、地域の公民館で講師を務める）,無所属,年金収入約250万円 + 講師料,東京大学文学部卒業（哲学専攻）、博士号取得,妻と二人暮らし、息子1人が独立している,知識の共有、地域社会への貢献、平和な生活を大切にしている,早寝早起き、規則正しい生活。朝は散歩、午後は読書や研究活動。夕方は地域の公民館でボランティア活動を行う。,哲学書の読み書き、庭いじり、将棋、近所の人々との交流,地域社会に貢献し、若い世代に知識を伝えること。孫と過ごす時間を増やすこと。,必要最低限のものを購入する。書籍や健康食品には投資する傾向がある。,新聞（朝日新聞）、地域の情報誌、インターネットニュース,スマートフォン（iPhone）、タブレット（iPad）,Facebookで近所の人々と交流、孫とのコミュニケーションに利用,6:00 起床 → 7:00 散歩 → 8:30 朝食 → 9:30 書籍の読書や研究 → 12:00 昼食 → 14:00 地域の公民館での活動 → 18:00 帰宅、夕食 → 20:00 孫とのSkype → 22:00 就寝,認知症や健康上の問題への不安。家族や友人の高齢化による孤独感。,健康的な生活を維持すること。孫との時間を増やす方法を見つけること。,無印良品、タカラトミー（将棋セットなど）,NHK教育テレビ、YouTubeの哲学チャンネル、孫が出演するスポーツ番組,家族との絆が強い。近所の人々との関係も良好。旧友や元同僚とは年に数回会う。,先月、地域の公民館で講演会を行い、好評を博した。孫の大学合格祝いを行った。
佐藤さくら,107,女性,東京都港区,高級マンションの3LDK（独居）,元小学校教諭、現在はシニアアドバイザー,無所属（ボランティア活動も行っている）,年収約200万円（年金・投資収入含む）,東京学芸大学教育学部卒業,独身、甥や姪たちとは月1回会う,社会貢献の精神、自然と調和した生活を重視,早起きし、朝ヨガを日課にしている。週3回は地域の公民館で英会話教室に参加,園芸、絵画、旅行（国内中心）,高齢者向けプログラムの開発と普及,品質重視、長く使えるものや環境負荷が少ない製品を好む,地元の新聞、テレビニュース、インターネット記事,スマートフォン（iOS）、タブレット（iPad）,Facebook（主に孫とのコミュニケーション）,5:30 起床 → 6:00 朝ヨガ → 7:00 朝食 → 9:00 英会話教室（週3回）→ 12:00 昼食 → 14:00 絵画や園芸 → 18:00 夕食 → 20:00 テレビ鑑賞 → 22:00 就寝,加齢による健康問題、孤独感の増加,健康管理法の学習、新しい趣味や交流の機会,無印良品、Apple,BBCドキュメンタリー、NHK教育テレビ,友人や元同僚との定期的な集まり、地域のボランティア仲間との交流,先月、孫の大学入学式に出席。近所の公園で春の花見を楽しんだ
田中裕一,19,男性,東京都世田谷区,学生寮（大学付属）,大学生（情報理工学部コンピュータサイエンス学科）,無所属（大学の学生）,アルバイト収入：月10万円程度,私立都立大附属高等学校出身,両親と妹（高校生）の4人家族。父親は会社員、母親は主婦。,技術革新を追求し、社会に貢献したい。個人の能力を最大限に発揮することを大切にする。,平日は授業と自習、週末は友人と遊びに行くことが多い。積極的に新しいことに挑戦する。,プログラミング、音楽（ギター演奏）、映画鑑賞,卒業後はIT企業に就職し、AI開発に関わる仕事に携わりたい。将来的には自社起業を目指す。,技術系の本や電子デバイスをよく購入する。オンラインショッピングを利用することが多い。,インターネット（特にニュースサイト、SNS）、友人との情報交換,ノートPC（Windows）、スマートフォン（Android）、タブレット（iPad）,Twitter（主にプログラミング関連の情報を得るため）、Instagram（趣味の写真を投稿）,7:00 起床、8:00 朝食、9:00 授業開始、13:00 昼休憩、14:00 授業再開、16:00 下校、17:00 自習室で勉強、20:00 夕食、22:00 部屋に戻って自由時間（趣味やSNS閲覧）、23:30 就寝,将来的な就職活動での競争率が気になる。プログラミングスキルをさらに磨きたい。,プログラミングスキルの向上、社会経験の積み重ね、人間関係の構築,Apple（電子デバイス）、Adidas（カジュアルウェア）,Netflix（映画・ドラマ）、YouTube（技術系チャンネル、音楽動画）,友人たちとの関係が良好。クラスメートや研究室の先輩たちとも仲が良い。,最近はプログラミングコンテストに参加し、優秀な成績を収めた。また、大学祭ではバンド活動を行い、好評を得た。
佐藤未来,18,女性,東京都世田谷区,親と同居（3LDKのアパート）,専門学校生・バイト（カフェスタッフ）,10〜50人規模のカフェ,"アルバイト時給1,200円、月収約7万円",私立女子高校卒業、専門学校在学中（Webデザイン科）,両親と1人の妹（14歳）との4人家族。父親は会社員、母親はパート主婦,自己表現・コミュニケーションの重要性を重視。将来は独立して自分のWebサイトを作るのが夢,学校とバイトの生活が中心。週末は友達と出かけたり、映画を見たりする,イラストを描くこと、音楽を聴くこと（J-POP）、SNSでの写真投稿,専門学校卒業後、Webデザイナーとして働きながら、個人のブランドを作りたい,服やコスメは価格よりも品質とデザインを重視。新しいテクノロジーに興味がある,"SNS（Instagram, Twitter）、YouTube、Webニュースサイト","iPhone 13, MacBook Air",Instagram: 毎日数回、Twitter: 毎日1〜2回、TikTok: 週に数回,7:00 起床、8:00 朝食、9:00 専門学校へ出発、13:00 バイト（カフェ）開始、18:00 バイト終了、20:00 帰宅後自習・趣味の時間、23:00 就寝,将来のキャリアについて悩んでいる。デザイン業界での競争が激しくなることが不安,スキルアップのために DESIGNER CONTESTS やワークショップに参加したい。バイトと学業の両立方法を見つける必要がある,"UNIQLO, ZARA, Apple, MUJI",Netflix（主にアニメ）、YouTube（ゲーム実況、デザイン関連のチャンネル）,友達は主に学校やバイト先の人々。信頼できる親友が3人いる。先生と良い関係を築いている,先月、Webデザインコンテストで佳作を受賞した。今週末には初めて一人旅をしてみる予定
佐藤 大介,27,男性,東京都世田谷区,1Kのアパート（借家）,Webデザイナー,中堅企業（50〜300人規模）,420万円,私立大学芸術学部デザイン学科卒業,独身、実家住まい,自己表現と創造性の重視、仕事とプライベートのバランスを大切に,早起きで規則正しい生活、週末は趣味の時間を楽しむ,イラストレーション、映画鑑賞、料理、旅行,独立し、個人事業主としてWebデザイン事務所を開業する,品質と価格バランスを重視、オンラインショッピングが中心,SNS、専門ブログ、ニュースサイト,"MacBook Pro, iPhone, iPad",Instagram（作品公開）、Twitter（情報収集）,6:30 起床 -> 7:00 朝食とコーヒー -> 8:00 通勤 -> 9:00 出社・仕事開始 -> 12:00 昼休憩 -> 13:00 続け仕事 -> 18:00 帰宅 -> 19:00 夕食 -> 20:00 趣味の時間 -> 23:00 就寝,独立資金の蓄積、デザインスキルの向上、健康的な生活の維持,スキルアップのための教育プログラム、独立に向けたビジネス知識の習得、健康維持のための運動習慣,"Apple, Adobe, Muji",Netflix（映画・ドラマ）、YouTube（デザイン関連チャンネル）,友人グループが中心、同僚との良好な関係、地元のコミュニティに参加している,新しいプロジェクトを任され、責任感と挑戦意欲が高まっている。最近は友人たちとキャンプに出かけた
佐藤美咲,27,女性,東京都世田谷区,1Kのアパート（賃貸）,Webデザイナー,中小企業（50〜100人）,年収420万円,短大卒業（デザイン学科）,独身、両親と妹の4人家族（実家は地方に住んでいる）,自己成長を重視し、日々学ぶことが大切だと考える。また、人との関係性も大切にしている。,早起きを心がけ、朝はジムやヨガで身体を動かす。仕事後は友人と食事をしたり、趣味の時間を楽しむことが多い。,ヨガ、料理、旅行、映画鑑賞,30歳までに独立して自分のデザイン事務所を開くこと。また、海外での研修やワークショップに参加したい。,品質と価値を重視し、長持ちするものを選ぶ傾向がある。オンラインショッピングも活用しているが、実店舗で実際に触れてから購入することも多い。,SNS（Instagram、Pinterest）、専門誌、Web記事,iPhone、MacBook Pro、スマートスピーカー,Instagramを頻繁に利用。デザインのインスピレーションを得たり、友人とのコミュニケーションに使用している。,6:30 起床 → 7:00 ジムまたはヨガ → 8:00 朝食 → 9:00 出社 → 18:00 帰宅 → 19:00 夕食（自炊や外食）→ 20:00 趣味の時間 → 23:00 就寝,仕事とプライベートのバランスを保つことが難しい時がある。また、将来のキャリアパスに不安を感じている。,より効率的に時間管理できる方法を見つけたい。また、デザインスキルやビジネススキルを向上させたい。,UNIQLO、MUJI、Apple,Netflix（特に映画やドキュメンタリー）、YouTube（料理や旅行チャンネル）,友人や同僚との関係が良好。親しい友人は3〜4人で、定期的に会って食事をしたりする。,先週末に友人たちと箱根へドライブに行った。美しい景色を楽しみながらリフレッシュできた。また、今月は新しいプロジェクトの立ち上げに参加している。
